orderId;valueWithoutTaxes;countryCode;state;totalAmount
72484;375.3;PR;;
32378;168.87;PR;;
75117;cVIBD;PR;;
56961;102.35;PR;;
93173;384.74;CA;;
11022;xNbbf;PR;;
17871;128.4;PR;;
79486;122.34;US;FL;
16862;384.74;CA;;
35953;89.19;US;;
18545;168.87;PR;;
89164;37.66;US;NY;
15890;210.7;CA;;
81877;317.03;CA;;
39987;439.51;CA;;
12140;66.48;US;TX;
70339;384.74;CA;;
65425;168.87;PR;;
97631;439.51;CA;;
88427;423.8;PR;;
55275;169.58;US;CA;
90631;439.51;CA;;
29313;89.19;US;;
78262;66.48;US;TX;
24921;89.19;US;;
33151;uibWE;CA;;
51075;168.87;PR;;
27711;xTyBu;CA;;
60840;66.48;US;TX;
83833;169.58;US;CA;
52584;66.48;US;TX;
36525;BtYHh;CA;;
43397;89.19;US;;
36053;37.66;US;NY;
63305;375.3;PR;;
15474;387.42;PR;;
66684;417.93;CA;;
41829;fiLsi;US;FL;
10435;66.48;US;TX;
11952;415.43;PR;;
90847;128.4;PR;;
20929;128.4;PR;;
54826;317.03;CA;;
52915;375.3;PR;;
32208;439.51;CA;;
71490;128.4;PR;;
53332;CpMEC;PR;;
18574;128.4;PR;;
46474;317.03;CA;;
68572;122.34;US;FL;
79732;384.74;CA;;
53882;168.87;PR;;
27866;169.58;US;CA;
46564;66.48;US;TX;
82642;317.03;CA;;
82296;50.06;CA;;
35760;66.48;US;TX;
88641;169.58;US;CA;
39790;375.3;PR;;
55229;168.87;PR;;
46203;128.4;PR;;
51791;102.35;PR;;
32250;50.06;CA;;
91731;50.06;CA;;
90064;439.51;CA;;
60619;415.43;PR;;
26550;317.03;CA;;
84214;317.03;CA;;
68349;210.7;CA;;
81516;50.06;CA;;
70218;37.66;US;NY;
99493;122.34;US;FL;
87504;128.4;PR;;
68280;37.66;US;NY;
43511;128.4;PR;;
41966;uJBYp;US;;
64263;317.03;CA;;
94203;210.7;CA;;
98679;89.19;US;;
83350;169.58;US;CA;
50282;89.19;US;;
86590;375.3;PR;;
11863;423.8;PR;;
92301;387.42;PR;;
40539;439.51;CA;;
46746;hcaDg;CA;;
19500;128.4;PR;;
68111;37.66;US;NY;
31731;66.48;US;TX;
10469;37.66;US;NY;
57352;375.3;PR;;
22861;66.48;US;TX;
30978;Bpgqa;CA;;
45188;423.8;PR;;
60492;xHMNZ;CA;;
18273;384.74;CA;;
32643;415.43;PR;;
19770;210.7;CA;;
77777;169.58;US;CA;
52736;122.34;US;FL;
89173;UAAZX;US;NY;
91905;128.4;PR;;
83904;128.4;PR;;
61754;387.42;PR;;
95195;128.4;PR;;
15756;210.7;CA;;
66407;375.3;PR;;
18402;50.06;CA;;
80785;122.34;US;FL;
97446;210.7;CA;;
14543;439.51;CA;;
31796;317.03;CA;;
63245;375.3;PR;;
90621;122.34;US;FL;
96358;EnCzU;PR;;
47998;375.3;PR;;
47385;417.93;CA;;
91311;168.87;PR;;
71289;415.43;PR;;
83471;128.4;PR;;
69585;169.58;US;CA;
47059;lTnIh;CA;;
38262;387.42;PR;;
33037;122.34;US;FL;
15597;102.35;PR;;
97414;66.48;US;TX;
24437;417.93;CA;;
64051;415.43;PR;;
75348;37.66;US;NY;
16459;439.51;CA;;
12025;439.51;CA;;
30359;cZGUO;CA;;
21097;423.8;PR;;
51840;37.66;US;NY;
64650;Qmlhp;US;TX;
11515;439.51;CA;;
32794;66.48;US;TX;
16398;384.74;CA;;
26939;384.74;CA;;
16942;102.35;PR;;
78938;417.93;CA;;
27380;415.43;PR;;
33991;168.87;PR;;
13792;317.03;CA;;
49707;387.42;PR;;
25052;375.3;PR;;
47294;122.34;US;FL;
52000;128.4;PR;;
33369;168.87;PR;;
29736;168.87;PR;;
73013;423.8;PR;;
46671;415.43;PR;;
35746;66.48;US;TX;
15778;417.93;CA;;
79393;375.3;PR;;
34492;384.74;CA;;
30481;423.8;PR;;
48848;102.35;PR;;
76112;423.8;PR;;
16759;317.03;CA;;
72178;ZsgrR;US;FL;
27630;317.03;CA;;
15738;210.7;CA;;
57854;317.03;CA;;
33412;375.3;PR;;
63967;439.51;CA;;
19525;417.93;CA;;
70334;417.93;CA;;
71628;423.8;PR;;
19340;210.7;CA;;
67335;128.4;PR;;
84234;317.03;CA;;
53588;417.93;CA;;
66885;384.74;CA;;
21046;axtqE;US;CA;
68813;128.4;PR;;
54056;384.74;CA;;
88065;387.42;PR;;
69827;102.35;PR;;
97586;423.8;PR;;
43398;66.48;US;TX;
71439;128.4;PR;;
32051;89.19;US;;
24208;375.3;PR;;
33744;384.74;CA;;
27610;128.4;PR;;
35812;37.66;US;NY;
55687;439.51;CA;;
91046;423.8;PR;;
88791;89.19;US;;
64905;415.43;PR;;
92823;169.58;US;CA;
72860;102.35;PR;;
47352;122.34;US;FL;
51558;387.42;PR;;
14244;128.4;PR;;
91757;417.93;CA;;
31575;89.19;US;;
36473;387.42;PR;;
35547;384.74;CA;;
17056;128.4;PR;;
55018;66.48;US;TX;
95356;417.93;CA;;
85833;37.66;US;NY;
57575;168.87;PR;;
30070;102.35;PR;;
59012;417.93;CA;;
80162;122.34;US;FL;
13626;317.03;CA;;
70071;50.06;CA;;
54149;128.4;PR;;
26866;102.35;PR;;
34013;122.34;US;FL;
58178;384.74;CA;;
79364;439.51;CA;;
85991;417.93;CA;;
67482;89.19;US;;
94775;jfMvT;US;TX;
46824;417.93;CA;;
93263;66.48;US;TX;
43174;ZINeF;US;CA;
79925;66.48;US;TX;
36712;128.4;PR;;
26851;317.03;CA;;
34160;384.74;CA;;
83626;102.35;PR;;
97931;375.3;PR;;
29671;387.42;PR;;
76592;415.43;PR;;
23514;210.7;CA;;
67279;169.58;US;CA;
48102;375.3;PR;;
84334;50.06;CA;;
37047;423.8;PR;;
79751;TxlmI;CA;;
88412;MdcKl;US;;
77839;IUgFb;CA;;
27863;102.35;PR;;
39863;122.34;US;FL;
17788;169.58;US;CA;
91384;37.66;US;NY;
56964;417.93;CA;;
61783;210.7;CA;;
49000;375.3;PR;;
14275;66.48;US;TX;
82711;423.8;PR;;
31332;417.93;CA;;
22307;102.35;PR;;
65385;417.93;CA;;
53615;375.3;PR;;
45552;122.34;US;FL;
96343;210.7;CA;;
46726;375.3;PR;;
96701;375.3;PR;;
90723;50.06;CA;;
47093;423.8;PR;;
69444;168.87;PR;;
83286;89.19;US;;
25512;417.93;CA;;
60332;168.87;PR;;
91480;423.8;PR;;
96376;37.66;US;NY;
51791;387.42;PR;;
10103;cEjqb;CA;;
48219;168.87;PR;;
85590;Mvwur;PR;;
61407;387.42;PR;;
21235;66.48;US;TX;
98756;423.8;PR;;
13133;128.4;PR;;
74231;439.51;CA;;
83672;66.48;US;TX;
49358;102.35;PR;;
74298;168.87;PR;;
42436;210.7;CA;;
30941;IzszM;US;FL;
84960;417.93;CA;;
15451;387.42;PR;;
58595;37.66;US;NY;
31007;169.58;US;CA;
87838;89.19;US;;
77507;kuiDE;PR;;
38950;50.06;CA;;
19677;415.43;PR;;
64311;384.74;CA;;
31399;122.34;US;FL;
75154;168.87;PR;;
23386;417.93;CA;;
42344;122.34;US;FL;
64218;169.58;US;CA;
25954;50.06;CA;;
53057;417.93;CA;;
38797;122.34;US;FL;
83392;384.74;CA;;
37148;50.06;CA;;
60779;102.35;PR;;
69621;102.35;PR;;
97232;SptXF;PR;;
15674;50.06;CA;;
73881;317.03;CA;;
23706;102.35;PR;;
62237;102.35;PR;;
47301;37.66;US;NY;
81737;37.66;US;NY;
15076;122.34;US;FL;
57983;37.66;US;NY;
28658;384.74;CA;;
75528;384.74;CA;;
98833;439.51;CA;;
47373;owCon;PR;;
29031;168.87;PR;;
98715;317.03;CA;;
83281;50.06;CA;;
50960;317.03;CA;;
79038;169.58;US;CA;
26790;50.06;CA;;
96943;128.4;PR;;
82377;89.19;US;;
80922;387.42;PR;;
19749;89.19;US;;
94295;Osaib;US;NY;
78146;122.34;US;FL;
23022;415.43;PR;;
97471;317.03;CA;;
39831;168.87;PR;;
20521;cSTwj;US;;
39729;439.51;CA;;
77265;168.87;PR;;
77831;417.93;CA;;
48841;50.06;CA;;
50174;37.66;US;NY;
45330;jHaiL;CA;;
50881;50.06;CA;;
33502;439.51;CA;;
19756;66.48;US;TX;
59051;89.19;US;;
56145;387.42;PR;;
62307;37.66;US;NY;
51942;37.66;US;NY;
62266;169.58;US;CA;
48621;66.48;US;TX;
44371;102.35;PR;;
77628;168.87;PR;;
99334;168.87;PR;;
16353;387.42;PR;;
14467;66.48;US;TX;
96249;317.03;CA;;
88100;128.4;PR;;
48773;439.51;CA;;
32997;387.42;PR;;
62950;439.51;CA;;
19771;aMcZP;CA;;
38485;37.66;US;NY;
89227;xaBEg;CA;;
38024;384.74;CA;;
50906;89.19;US;;
47195;439.51;CA;;
39229;66.48;US;TX;
47231;169.58;US;CA;
54734;417.93;CA;;
14813;66.48;US;TX;
12463;hFlFb;CA;;
94715;50.06;CA;;
55759;168.87;PR;;
31681;417.93;CA;;
29120;168.87;PR;;
88965;168.87;PR;;
82884;lIAJh;PR;;
26812;sESXY;CA;;
14974;66.48;US;TX;
68622;384.74;CA;;
56552;384.74;CA;;
15892;128.4;PR;;
38409;128.4;PR;;
68307;415.43;PR;;
75015;439.51;CA;;
82035;415.43;PR;;
17003;415.43;PR;;
92952;128.4;PR;;
98658;122.34;US;FL;
69092;168.87;PR;;
88168;384.74;CA;;
36645;169.58;US;CA;
68937;122.34;US;FL;
44968;102.35;PR;;
93949;417.93;CA;;
46727;384.74;CA;;
62286;384.74;CA;;
88586;50.06;CA;;
24638;UfUos;CA;;
46828;66.48;US;TX;
14204;415.43;PR;;
94863;50.06;CA;;
11410;66.48;US;TX;
95756;423.8;PR;;
87970;122.34;US;FL;
92417;89.19;US;;
58551;317.03;CA;;
22051;50.06;CA;;
32464;rLHXD;PR;;
86478;417.93;CA;;
83785;384.74;CA;;
46444;417.93;CA;;
75610;387.42;PR;;
62247;417.93;CA;;
33341;pGbOd;US;NY;
51425;423.8;PR;;
80136;122.34;US;FL;
68611;102.35;PR;;
43767;168.87;PR;;
25385;169.58;US;CA;
82619;375.3;PR;;
31388;122.34;US;FL;
94186;439.51;CA;;
63224;89.19;US;;
96607;89.19;US;;
19068;169.58;US;CA;
73965;423.8;PR;;
71355;387.42;PR;;
29098;375.3;PR;;
72390;168.87;PR;;
48250;uGqWz;PR;;
65518;37.66;US;NY;
65720;OdpcR;CA;;
81182;210.7;CA;;
51504;417.93;CA;;
99033;210.7;CA;;
75858;128.4;PR;;
85430;317.03;CA;;
68710;384.74;CA;;
87536;122.34;US;FL;
72076;50.06;CA;;
73827;169.58;US;CA;
37990;XrzNC;US;CA;
66845;384.74;CA;;
11695;210.7;CA;;
84174;169.58;US;CA;
95899;IlMao;PR;;
38799;169.58;US;CA;
46338;210.7;CA;;
53112;210.7;CA;;
74724;66.48;US;TX;
78349;417.93;CA;;
66568;oowSj;CA;;
82834;NXkpP;PR;;
31175;423.8;PR;;
54466;439.51;CA;;
36209;415.43;PR;;
88517;384.74;CA;;
16818;122.34;US;FL;
14786;102.35;PR;;
20966;128.4;PR;;
48158;210.7;CA;;
93018;128.4;PR;;
54807;169.58;US;CA;
60515;439.51;CA;;
23895;kMeSP;CA;;
54329;66.48;US;TX;
24159;37.66;US;NY;
33404;387.42;PR;;
49394;50.06;CA;;
78033;50.06;CA;;
67503;128.4;PR;;
86568;384.74;CA;;
86836;128.4;PR;;
58758;128.4;PR;;
89709;169.58;US;CA;
63090;423.8;PR;;
15659;102.35;PR;;
92465;210.7;CA;;
81758;210.7;CA;;
84629;423.8;PR;;
15456;122.34;US;FL;
13974;375.3;PR;;
26270;VVdEh;US;TX;
99822;50.06;CA;;
28238;128.4;PR;;
52189;384.74;CA;;
61451;423.8;PR;;
43996;417.93;CA;;
60338;128.4;PR;;
86949;128.4;PR;;
11748;375.3;PR;;
22517;317.03;CA;;
58927;102.35;PR;;
