orderId;valueWithoutTaxes;countryCode;state;totalAmount
27000;375.3;PR;;
75813;439.51;CA;;
51794;423.8;PR;;
69843;415.43;PR;;
12534;317.03;CA;;
17974;102.35;PR;;
66991;50.06;CA;;
81994;417.93;CA;;
73021;128.4;PR;;
66680;169.58;US;CA;
78958;122.34;US;FL;
54623;168.87;PR;;
69265;66.48;US;TX;
26863;37.66;US;NY;
12502;89.19;US;;
99193;210.7;CA;;
60711;387.42;PR;;
95401;384.74;CA;;
78572;216.86;PR;;
34661;279.42;PR;;
33981;49.95;CA;;
42535;119.98;US;NY;
84430;194.58;PR;;
33891;480.1;US;;
38127;168.4;PR;;
12206;96.35;CA;;
13755;218.23;PR;;
15099;330.69;PR;;
11873;470.4;CA;;
59354;231.76;CA;;
15741;193.89;PR;;
60100;293.57;US;FL;
89825;492.18;PR;;
14493;18.56;PR;;
21088;233.3;CA;;
80479;38.62;US;CA;
50533;37.52;US;TX;
11264;300.16;CA;;
76544;159.81;CA;;
74465;92.68;CA;;
31559;331.07;PR;;
37127;410.53;PR;;
76046;13.27;PR;;
60362;196.75;CA;;
92509;484.34;PR;;
84237;470.32;US;NY;
56398;117.88;PR;;
73650;261.67;PR;;
24628;164.91;PR;;
61978;13.6;PR;;
70436;72.23;US;NY;
52040;366.35;PR;;
52394;297.95;US;CA;
51901;238.89;PR;;
99997;23.79;PR;;
60894;414.25;US;FL;
98128;276.78;US;TX;
79270;393.14;PR;;
16955;58.09;CA;;
10788;115.97;US;CA;
74508;281.45;PR;;
50736;150.44;PR;;
25265;413.31;PR;;
34686;463.19;PR;;
58480;58.69;CA;;
71085;357.57;US;CA;
14484;45.83;US;NY;
68552;338.39;CA;;
55090;332.39;US;TX;
65571;296.78;CA;;
92782;202.22;US;FL;
38167;494.75;PR;;
16120;296.4;US;;
80904;376.12;CA;;
23282;170.53;US;NY;
23734;215.31;PR;;
87115;197.03;US;;
44681;212.6;PR;;
70514;95.01;CA;;
71048;133.45;PR;;
77668;184.7;PR;;
26358;191.86;CA;;
96666;253.86;US;FL;
14023;131.58;CA;;
38420;138.71;US;CA;
93760;310.36;PR;;
41671;451.39;PR;;
27020;391.93;US;NY;
72588;326.78;US;NY;
99159;86.78;CA;;
87630;470.26;CA;;
83120;322.95;CA;;
23079;367.96;CA;;
89660;405.03;PR;;
85295;46.31;CA;;
96488;144.3;US;NY;
15917;481.48;US;CA;
28643;140.57;PR;;
28559;258.86;US;;
62204;376.83;PR;;
55833;172.38;CA;;
35146;404.07;PR;;
27027;273.58;CA;;
62986;88.12;CA;;
88829;26.0;CA;;
16232;180.09;CA;;
66224;232.91;CA;;
31300;185.66;PR;;
13118;188.23;PR;;
42579;288.89;PR;;
71982;341.65;PR;;
58902;103.95;PR;;
49579;168.47;US;NY;
33516;254.94;PR;;
64976;259.82;PR;;
51835;172.25;PR;;
72065;32.41;PR;;
53694;40.16;CA;;
22403;467.62;US;NY;
30599;457.4;CA;;
90742;473.61;US;NY;
73784;206.16;PR;;
55345;295.51;US;;
67858;383.38;CA;;
49849;116.69;CA;;
58045;36.42;US;FL;
12611;360.44;CA;;
80610;424.31;CA;;
25937;294.44;CA;;
11001;315.54;US;CA;
42116;320.49;US;CA;
87350;151.26;PR;;
94845;214.06;US;TX;
84366;110.07;CA;;
78353;426.65;US;TX;
97304;453.82;US;TX;
81390;65.04;US;NY;
73400;469.02;US;FL;
90050;262.83;PR;;
25772;371.82;PR;;
47176;464.01;US;NY;
57146;121.29;CA;;
56935;291.37;US;CA;
21280;63.72;PR;;
64486;305.2;CA;;
31939;450.5;PR;;
58002;132.07;PR;;
30375;492.53;US;;
76003;97.75;PR;;
44442;141.06;US;CA;
89188;134.59;CA;;
52990;35.14;PR;;
85766;270.96;PR;;
76802;167.97;PR;;
35225;324.04;US;NY;
67554;180.21;PR;;
27411;344.92;US;NY;
76428;163.95;CA;;
34765;21.89;CA;;
34878;462.9;CA;;
38388;123.5;US;CA;
81983;419.61;US;FL;
71833;162.04;US;;
81631;288.8;CA;;
68670;352.62;US;CA;
66716;454.84;PR;;
26318;397.22;CA;;
13640;420.64;PR;;
97677;178.24;PR;;
58341;328.64;PR;;
16390;424.69;PR;;
41018;441.79;PR;;
38491;321.78;CA;;
69932;207.32;PR;;
18577;430.16;PR;;
93072;334.5;PR;;
18693;483.9;US;;
48053;259.62;CA;;
72060;444.5;US;NY;
39783;224.23;PR;;
88832;92.37;CA;;
75274;318.08;PR;;
76747;183.17;CA;;
62973;189.11;PR;;
47395;167.69;PR;;
98132;232.48;PR;;
98636;196.61;US;TX;
38614;17.88;US;FL;
41437;471.84;PR;;
81572;134.91;CA;;
65684;198.22;PR;;
21879;65.81;CA;;
29283;350.83;US;TX;
25690;249.02;PR;;
15318;344.73;PR;;
64999;341.59;PR;;
64895;93.91;PR;;
22570;400.84;CA;;
47035;259.21;US;FL;
95854;236.47;PR;;
67148;112.65;PR;;
15503;208.23;PR;;
27459;113.09;PR;;
49541;427.96;US;TX;
70385;41.19;CA;;
20591;394.38;US;NY;
58605;386.41;PR;;
22711;492.03;US;TX;
65250;133.34;CA;;
31280;292.89;US;CA;
35424;374.3;PR;;
23795;434.55;US;;
60611;150.41;CA;;
50277;252.46;US;NY;
44121;62.59;PR;;
20033;213.34;US;CA;
51365;78.69;PR;;
72242;388.74;PR;;
73396;376.9;PR;;
72425;274.13;CA;;
23204;12.89;PR;;
52106;330.24;US;FL;
24195;481.42;PR;;
15349;82.53;US;CA;
74597;380.7;PR;;
79287;235.6;PR;;
31308;187.4;US;CA;
76339;182.3;CA;;
93881;28.83;PR;;
72594;288.92;PR;;
77876;343.21;CA;;
60586;290.37;PR;;
18972;115.18;US;CA;
66741;466.08;PR;;
74809;266.26;CA;;
18480;345.25;US;FL;
88919;401.92;PR;;
56968;355.4;US;TX;
39819;429.78;CA;;
32037;33.64;US;TX;
69228;200.85;US;;
87013;483.53;US;NY;
15120;184.89;US;CA;
28784;384.93;PR;;
33441;406.37;US;NY;
49012;32.64;CA;;
81592;369.39;PR;;
17307;60.65;US;NY;
13789;473.68;CA;;
30540;261.4;CA;;
21501;168.96;CA;;
19650;263.99;US;;
46687;369.13;US;TX;
88413;430.39;CA;;
80736;361.47;CA;;
61340;97.06;CA;;
55407;45.34;US;FL;
39261;128.19;US;CA;
93285;403.13;US;CA;
83614;341.36;US;FL;
48691;313.34;PR;;
65330;488.62;US;FL;
